Polarity (XLogP3), Viscosity (cP), Boiling Point (K), Surface Tension (mN/m), Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
2.7,0.68,350.372,29.46,0.235217863,1.248713247,0.522760779,0.392202881
2.7,0.68,350.372,29.46,1.605398137,1.247312034,0.594018613,0.33084521
2.7,0.68,350.372,29.46,0.648672641,1.60734844,0.569555948,0.391704459
2.7,0.68,350.372,29.46,0.773945856,1.549976523,0.619895127,0.4477722
2.7,0.68,350.372,29.46,50,1.490797413,0.810037588,0.675592633
2.7,0.68,350.372,29.46,1.088939985,1.56218243,0.766804295,0.459771255
2.7,0.68,350.372,29.46,0.0025,1.61,0.630230006,0.329271363
2.7,0.68,350.372,29.46,1.269552983,1.603334265,0.571456292,0.399592449
2.7,0.68,350.372,29.46,8.899913193,1.460164114,0.756349332,0.614478912
2.7,0.68,350.372,29.46,1.182359029,1.60613508,0.795477141,0.601976163
2.7,0.68,350.372,29.46,0.529931521,1.249373014,0.77822049,0.399713916
2.7,0.68,350.372,29.46,0.0025,1.548590753,0.52723271,0.39210351
2.7,0.68,350.372,29.46,0.0025,1.54735674,0.604626567,0.453274248
2.7,0.68,350.372,29.46,49.34519571,1.469543646,0.827182062,0.65311357
2.7,0.68,350.372,29.46,50,1.490142067,0.799827583,0.630181232
2.7,0.68,350.372,29.46,1.645985556,1.483163883,0.526505479,0.439345177
2.7,0.68,350.372,29.46,0.016370208,1.254254204,0.52233928,0.390356614
2.7,0.68,350.372,29.46,50,1.464919434,0.834655873,0.660637054
2.7,0.68,350.372,29.46,2.260302676,1.446130461,0.643953166,0.35260831
2.7,0.68,350.372,29.46,0.026279192,1.259122717,0.549366311,0.38086375
2.7,0.68,350.372,29.46,0.0025,1.60945322,0.784597668,0.516977085
2.7,0.68,350.372,29.46,0.0025,1.606081049,0.607352173,0.356525934
2.7,0.68,350.372,29.46,0.106890382,1.248338572,0.663310382,0.2
2.7,0.68,350.372,29.46,9.888410952,1.443986248,0.738968207,0.631544683
2.7,0.68,350.372,29.46,0.0025,1.61,0.788999892,0.598833999
2.7,0.68,350.372,29.46,0.0025,1.557189611,0.52197477,0.435298425
2.7,0.68,350.372,29.46,49.98984293,1.451488834,0.828212807,0.649085507
2.7,0.68,350.372,29.46,0.587716582,1.548246953,0.528991412,0.400219462
2.7,0.68,350.372,29.46,0.0025,1.355015168,0.757952343,0.471660401
2.7,0.68,350.372,29.46,0.0025,1.556022602,0.532120619,0.42159092
2.7,0.68,350.372,29.46,0.0025,1.568886085,0.717118762,0.473267994
2.7,0.68,350.372,29.46,0.0025,1.596757007,0.644355608,0.330856568
2.7,0.68,350.372,29.46,2.188343892,1.568568687,0.732069583,0.491674809
2.7,0.68,350.372,29.46,1.322461538,1.245846545,0.587280445,0.327007449
2.7,0.68,350.372,29.46,48.2713476,1.478661447,0.787731712,0.621042697
2.7,0.68,350.372,29.46,0.207575447,1.458058543,0.80199807,0.495383545
2.7,0.68,350.372,29.46,0.0025,1.604538629,0.780227933,0.595337045
2.7,0.68,350.372,29.46,0.784210109,1.61,0.779638309,0.467776826
2.7,0.68,350.372,29.46,8.86947688,1.452235206,0.747325138,0.641663964
2.7,0.68,350.372,29.46,0.030381829,1.563496206,0.533003715,0.438418677
2.7,0.68,350.372,29.46,1.31917221,1.601964635,0.801799278,0.606589371
2.7,0.68,350.372,29.46,50,1.458921684,0.831840673,0.647117959
2.7,0.68,350.372,29.46,0.0025,1.540586156,0.623360056,0.445438803
2.7,0.68,350.372,29.46,0.0025,1.61,0.784017734,0.592298226
2.7,0.68,350.372,29.46,0.75443351,1.5486498,0.630516279,0.445560161
2.7,0.68,350.372,29.46,0.979096611,1.609169325,0.567105744,0.384993133
2.7,0.68,350.372,29.46,0.0025,1.56935563,0.52,0.380521934
2.7,0.68,350.372,29.46,50,1.452743786,0.83932266,0.633097775
2.7,0.68,350.372,29.46,0.0025,1.572849058,0.52,0.377350727
2.7,0.68,350.372,29.46,0.0025,1.510896688,0.529913297,0.438853511
2.7,0.68,350.372,29.46,1.239583739,1.594840549,0.784638932,0.602293603
2.7,0.68,350.372,29.46,0.060231056,1.551464685,0.52,0.387703286
2.7,0.68,350.372,29.46,11.91281101,1.452230543,0.748002499,0.649606543
2.7,0.68,350.372,29.46,0.0025,1.587376308,0.779255773,0.599410023
2.7,0.68,350.372,29.46,0.0025,1.598163804,0.639110333,0.324953374
2.7,0.68,350.372,29.46,0.066060526,1.237010813,0.622441206,0.462090497
2.7,0.68,350.372,29.46,0.0025,1.584992881,0.644050463,0.338613786
2.7,0.68,350.372,29.46,37.34776487,1.201833817,0.764858241,0.58643739
2.7,0.68,350.372,29.46,0.0025,1.573471255,0.530260446,0.445745248
2.7,0.68,350.372,29.46,49.80624519,1.462620755,0.8227161,0.651115977
2.7,0.68,350.372,29.46,0.0025,1.557617638,0.527091789,0.419138729
2.7,0.68,350.372,29.46,0.468413663,1.455664948,0.802351131,0.486505958
2.7,0.68,350.372,29.46,0.0025,1.254774391,0.771319952,0.391952067
2.7,0.68,350.372,29.46,0.846862681,1.350415272,0.754994162,0.473115387
2.7,0.68,350.372,29.46,0.449841504,1.563403067,0.543964341,0.398018524
2.7,0.68,350.372,29.46,0.0025,1.603795137,0.649267362,0.335324291
2.7,0.68,350.372,29.46,49.01433935,1.475790579,0.828393276,0.645365889
2.7,0.68,350.372,29.46,2.874466352,1.448009433,0.64205913,0.35619134
2.7,0.68,350.372,29.46,48.76660094,1.48403841,0.804124077,0.679903472
2.7,0.68,350.372,29.46,0.0025,1.547398484,0.756714845,0.455604637
2.7,0.68,350.372,29.46,0.0025,1.556218542,0.75111847,0.459041608
2.7,0.68,350.372,29.46,49.63750179,1.452879994,0.823701103,0.62155078
2.7,0.68,350.372,29.46,1.214245358,1.604156874,0.557815507,0.397546364
2.7,0.68,350.372,29.46,0.636527393,1.599474679,0.780927524,0.471501374
2.7,0.68,350.372,29.46,0.780901877,1.61,0.783303716,0.479581062
2.7,0.68,350.372,29.46,41.17053164,1.440479733,0.86,0.741314611
2.7,0.68,350.372,29.46,48.32721852,1.483097851,0.799464868,0.669593127
2.7,0.68,350.372,29.46,0.571172147,1.443843901,0.797948134,0.495130349
2.7,0.68,350.372,29.46,0.0025,1.573641925,0.619810931,0.471424102
2.7,0.68,350.372,29.46,0.590370511,1.568004595,0.634656063,0.468304203
2.7,0.68,350.372,29.46,1.228997852,1.606295952,0.783163485,0.633100336
2.7,0.68,350.372,29.46,0.0025,1.575136622,0.529274049,0.441119128
2.7,0.68,350.372,29.46,0.016603444,1.603191787,0.558213985,0.398720348
2.7,0.68,350.372,29.46,0.0025,1.61,0.650927721,0.333132555
2.7,0.68,350.372,29.46,2.153354917,1.61,0.582432123,0.404532703
2.7,0.68,350.372,29.46,49.79260762,1.449014494,0.830937655,0.645159579
2.7,0.68,350.372,29.46,0.223106166,1.594093596,0.654115725,0.345276589
2.7,0.68,350.372,29.46,0.650023245,1.25367872,0.561265609,0.389845173
2.7,0.68,350.372,29.46,49.17110948,1.451114576,0.827617002,0.643834568
2.7,0.68,350.372,29.46,0.0025,1.532321977,0.522146718,0.436107034
2.7,0.68,350.372,29.46,0.0025,1.253187583,0.611512746,0.459992473
2.7,0.68,350.372,29.46,0.0025,1.61,0.799995655,0.610697585
2.7,0.68,350.372,29.46,49.70731253,1.486765072,0.797319267,0.6291211
2.7,0.68,350.372,29.46,0.0025,1.55770255,0.53611583,0.391638649
2.7,0.68,350.372,29.46,42.19548723,1.447262031,0.86,0.716843874
2.7,0.68,350.372,29.46,0.944367574,1.604129258,0.569381025,0.393991529
2.7,0.68,350.372,29.46,0.968801669,1.598830725,0.557714672,0.386762632
2.7,0.68,350.372,29.46,0.0025,1.601098009,0.555048637,0.375500879
2.7,0.68,350.372,29.46,49.98719154,1.436016455,0.828552755,0.616125465
2.7,0.68,350.372,29.46,2.051113379,1.287965403,0.635264579,0.404797782
2.7,0.68,350.372,29.46,0.529607927,1.61,0.792231412,0.604513941
2.7,0.68,350.372,29.46,10.74240733,1.443869467,0.746476951,0.639208177
2.7,0.68,350.372,29.46,0.563502832,1.61,0.788433008,0.530462812
2.7,0.68,350.372,29.46,0.0025,1.564254431,0.715967395,0.470365033
2.7,0.68,350.372,29.46,0.333184499,1.602412219,0.564051205,0.376942838
2.7,0.68,350.372,29.46,49.45934112,1.486943392,0.803802737,0.630552299
2.7,0.68,350.372,29.46,49.79785134,1.453393318,0.819924201,0.614908509
2.7,0.68,350.372,29.46,1.95708718,1.607953261,0.647358198,0.352518228
2.7,0.68,350.372,29.46,0.955061404,1.596340843,0.785121208,0.599344482
2.7,0.68,350.372,29.46,0.0025,1.60915363,0.646389379,0.32951541
2.7,0.68,350.372,29.46,0.0025,1.554786036,0.523830212,0.429058835
2.7,0.68,350.372,29.46,0.0025,1.61,0.604143637,0.351034522
2.7,0.68,350.372,29.46,0.0025,1.566887393,0.755135781,0.442497724
2.7,0.68,350.372,29.46,0.987048391,1.591375628,0.662179655,0.343866181
2.7,0.68,350.372,29.46,0.725305781,1.338472036,0.748054646,0.465869835
2.7,0.68,350.372,29.46,0.0025,1.575577558,0.520348027,0.379791182
2.7,0.68,350.372,29.46,1.317109141,1.54657671,0.616749885,0.439512627
2.7,0.68,350.372,29.46,10.52623941,1.461659091,0.755003918,0.616986094
2.7,0.68,350.372,29.46,0.0025,1.60857081,0.631695552,0.3311873
2.7,0.68,350.372,29.46,0.0025,1.355825104,0.75125385,0.458414429
2.7,0.68,350.372,29.46,9.625707754,1.451429411,0.744992919,0.641835253
2.7,0.68,350.372,29.46,49.10234238,1.44741676,0.821323352,0.612717074
2.7,0.68,350.372,29.46,0.706681616,1.559121055,0.722295554,0.480886935
2.7,0.68,350.372,29.46,50,1.489429754,0.794677368,0.6535028
2.7,0.68,350.372,29.46,0.078091577,1.61,0.590419677,0.348106541
2.7,0.68,350.372,29.46,50,1.447344831,0.836612811,0.644084835
2.7,0.68,350.372,29.46,0.0025,1.540130079,0.748674637,0.456287104
2.7,0.68,350.372,29.46,0.0025,1.558591649,0.75020904,0.435873171
2.7,0.68,350.372,29.46,0.0025,1.495729893,0.530908552,0.440877397
2.7,0.68,350.372,29.46,0.321324858,1.571017636,0.63826227,0.470913824
2.7,0.68,350.372,29.46,9.947552022,1.467095613,0.765751697,0.618021613
2.7,0.68,350.372,29.46,0.0025,1.508861533,0.531508065,0.441952688
2.7,0.68,350.372,29.46,0.0025,1.557934829,0.610435129,0.458033443
2.7,0.68,350.372,29.46,0.0025,1.560548006,0.526827827,0.390600913
2.7,0.68,350.372,29.46,12.78231748,1.434809756,0.761269536,0.660031876
2.7,0.68,350.372,29.46,0.601263698,1.599459793,0.655458145,0.349318789
2.7,0.68,350.372,29.46,0.683710259,1.256736687,0.660433924,0.203811906
2.7,0.68,350.372,29.46,40.35808318,1.456138769,0.846106389,0.857237602
2.7,0.68,350.372,29.46,50,1.45968502,0.831778581,0.655700334
2.7,0.68,350.372,29.46,0.0025,1.608565843,0.854066564,0.461542607
2.7,0.68,350.372,29.46,0.0025,1.61,0.544121598,0.370762656
2.7,0.68,350.372,29.46,8.575441446,1.462472456,0.754233274,0.617082536
2.7,0.68,350.372,29.46,0.0025,1.555956341,0.606932474,0.462344497
2.7,0.68,350.372,29.46,0.612018931,1.606841472,0.790731759,0.595368685
2.7,0.68,350.372,29.46,50,1.478540816,0.80431382,0.661920282
2.7,0.68,350.372,29.46,2.293895052,1.539759416,0.6276652,0.457671216
2.7,0.68,350.372,29.46,1.147455711,1.563977369,0.725024893,0.485598184
2.7,0.68,350.372,29.46,10.26919179,1.245267191,0.750422213,0.33390266
2.7,0.68,350.372,29.46,0.229006445,1.252593871,0.779563311,0.394201241
2.7,0.68,350.372,29.46,1.043781257,1.600839532,0.780306229,0.602714689
2.7,0.68,350.372,29.46,38.56726555,1.455801383,0.852065529,0.735081676
2.7,0.68,350.372,29.46,0.0025,1.56488373,0.525491636,0.427441408
2.7,0.68,350.372,29.46,0.0025,1.255611318,0.52,0.382852432
2.7,0.68,350.372,29.46,0.0025,1.448688341,0.789411485,0.481455443
2.7,0.68,350.372,29.46,49.55531705,1.465378608,0.821140303,0.617696575
2.7,0.68,350.372,29.46,0.0025,1.548562188,0.52,0.37464129
2.7,0.68,350.372,29.46,40.22610505,1.21144825,0.779256974,0.603586737
2.7,0.68,350.372,29.46,2.978523729,1.447513495,0.640957489,0.344483884
2.7,0.68,350.372,29.46,50,1.478379071,0.79768366,0.681437517
2.7,0.68,350.372,29.46,0.0025,1.55756414,0.760540424,0.442302955
2.7,0.68,350.372,29.46,50,1.339838642,0.830372406,0.669925915
2.7,0.68,350.372,29.46,1.101319676,1.608986789,0.569767742,0.391623993
2.7,0.68,350.372,29.46,0.169958158,1.61,0.779859023,0.630094874
2.7,0.68,350.372,29.46,0.0025,1.491374889,0.526582344,0.439786269
2.7,0.68,350.372,29.46,0.0025,1.61,0.591467411,0.341638275
2.7,0.68,350.372,29.46,0.0025,1.569709866,0.76126195,0.44561041
2.7,0.68,350.372,29.46,0.650841677,1.544237926,0.759584864,0.462466591
2.7,0.68,350.372,29.46,49.53051387,1.486236754,0.795012455,0.674477011
2.7,0.68,350.372,29.46,0.0025,1.547437933,0.6224868,0.440903323
2.7,0.68,350.372,29.46,1.642535192,1.561593672,0.761933824,0.469410585
2.7,0.68,350.372,29.46,0.0025,1.546870838,0.752851921,0.447556
2.7,0.68,350.372,29.46,48.99573142,1.490615734,0.790810146,0.625394776
2.7,0.68,350.372,29.46,9.12379295,1.478721746,0.755425963,0.618154632
2.7,0.68,350.372,29.46,0.0025,1.312427804,0.630878945,0.389163456
2.7,0.68,350.372,29.46,48.71416689,1.35323781,0.820286351,0.657063308
2.7,0.68,350.372,29.46,40.77256268,1.449429964,0.841939332,0.855022504
2.7,0.68,350.372,29.46,0.906626347,1.61,0.797684854,0.530816528
2.7,0.68,350.372,29.46,0.337901105,1.605858152,0.643866299,0.33919737
2.7,0.68,350.372,29.46,0.511445617,1.44774384,0.792582462,0.485763438
2.7,0.68,350.372,29.46,39.68751161,1.449552433,0.846286382,0.695195406
2.7,0.68,350.372,29.46,39.96209121,1.452797896,0.848601514,0.698035017
2.7,0.68,350.372,29.46,0.113173193,1.237967791,0.562001671,0.389138094
2.7,0.68,350.372,29.46,0.28789661,1.605894585,0.851611749,0.459236749
2.7,0.68,350.372,29.46,0.276408809,1.249562981,0.621724081,0.459850526
2.7,0.68,350.372,29.46,0.684278539,1.304824101,0.634730847,0.394425178
2.7,0.68,350.372,29.46,37.98772522,1.467789966,0.858256245,0.735585769
2.7,0.68,350.372,29.46,0.0025,1.61,0.600929986,0.354551191
2.7,0.68,350.372,29.46,0.0025,1.599854451,0.560217561,0.38715672
2.7,0.68,350.372,29.46,48.93325356,1.454171919,0.828767749,0.636494701
2.7,0.68,350.372,29.46,0.309644369,1.608082248,0.79734027,0.600268505
2.7,0.68,350.372,29.46,9.43926711,1.450910907,0.751880557,0.642873315
2.7,0.68,350.372,29.46,0.0025,1.539257081,0.52,0.376511365
2.7,0.68,350.372,29.46,9.632858383,1.254648961,0.745929937,0.338456619
2.7,0.68,350.372,29.46,49.71421305,1.494593183,0.801240793,0.657522852
2.7,0.68,350.372,29.46,9.838983072,1.466707802,0.761423007,0.615600013
2.7,0.68,350.372,29.46,0.650938385,1.592340197,0.568379107,0.399101855
2.7,0.68,350.372,29.46,0.281762428,1.550558015,0.530119286,0.443945982
2.7,0.68,350.372,29.46,0.0025,1.561991404,0.532664359,0.388002745
2.7,0.68,350.372,29.46,0.0025,1.543485443,0.52277167,0.42580912
2.7,0.68,350.372,29.46,0.721789611,1.61,0.579394396,0.392282253
2.7,0.68,350.372,29.46,0.707040671,1.567769426,0.610841572,0.464796459
2.7,0.68,350.372,29.46,0.0025,1.61,0.778235554,0.518833386
2.7,0.68,350.372,29.46,0.0025,1.565603349,0.609238144,0.451846461
2.7,0.68,350.372,29.46,0.0025,1.548275465,0.75428919,0.438774912
2.7,0.68,350.372,29.46,0.0025,1.255032198,0.662638636,0.2
2.7,0.68,350.372,29.46,1.470532957,1.457432365,0.641013013,0.349276361
2.7,0.68,350.372,29.46,0.59357828,1.241919926,0.522041866,0.392353313
2.7,0.68,350.372,29.46,0.0025,1.253371828,0.52,0.388589296
2.7,0.68,350.372,29.46,50,1.43113684,0.836576289,0.62940047
2.7,0.68,350.372,29.46,0.0025,1.61,0.776658256,0.621553749
2.7,0.68,350.372,29.46,0.0025,1.61,0.587783872,0.346276086
2.7,0.68,350.372,29.46,49.94739236,1.452692436,0.82690359,0.642922856
2.7,0.68,350.372,29.46,0.842011389,1.553294133,0.615510237,0.439947955
2.7,0.68,350.372,29.46,9.17589055,1.459251767,0.741221515,0.650887774
2.7,0.68,350.372,29.46,39.96821251,1.45284984,0.856565242,0.733742531
2.7,0.68,350.372,29.46,0.0025,1.252416615,0.52,0.37230856
2.7,0.68,350.372,29.46,0.0025,1.539376549,0.52,0.380637542
2.7,0.68,350.372,29.46,0.0025,1.61,0.857672467,0.469183217
2.7,0.68,350.372,29.46,0.0025,1.248498113,0.554563776,0.37662568
2.7,0.68,350.372,29.46,0.876955052,1.5412464,0.761617888,0.460103775
2.7,0.68,350.372,29.46,0.181881902,1.605796484,0.559208284,0.378514733
2.7,0.68,350.372,29.46,0.0025,1.354058962,0.748604576,0.457060593
2.7,0.68,350.372,29.46,1.589028414,1.455552167,0.637620886,0.347071952
2.7,0.68,350.372,29.46,0.114950737,1.570359762,0.604764598,0.462861932
2.7,0.68,350.372,29.46,0.0025,1.554062819,0.520462317,0.386106154
2.7,0.68,350.372,29.46,50,1.476283271,0.800604054,0.679218428
2.7,0.68,350.372,29.46,0.0025,1.609332223,0.788057121,0.523029176
2.7,0.68,350.372,29.46,0.0025,1.542730657,0.758590676,0.457350111
2.7,0.68,350.372,29.46,0.24617323,1.61,0.561440932,0.384104214
2.7,0.68,350.372,29.46,40.29008278,1.2,0.778665052,0.609250156
2.7,0.68,350.372,29.46,0.0025,1.606523614,0.570197622,0.388869324
2.7,0.68,350.372,29.46,0.0025,1.25897075,0.554909756,0.379636503
2.7,0.68,350.372,29.46,50,1.452169926,0.828657545,0.651225273
2.7,0.68,350.372,29.46,50,1.488991408,0.809446152,0.637296832
2.7,0.68,350.372,29.46,0.0025,1.59594988,0.562352081,0.392220009
2.7,0.68,350.372,29.46,50,1.445085132,0.830444116,0.619106948
2.7,0.68,350.372,29.46,0.0025,1.242796076,0.557492989,0.372202976
2.7,0.68,350.372,29.46,2.196111641,1.446743594,0.646474939,0.351220028
2.7,0.68,350.372,29.46,0.632129519,1.546594787,0.522732839,0.396042215
2.7,0.68,350.372,29.46,0.0025,1.566837255,0.6041569,0.457983748
2.7,0.68,350.372,29.46,0.895872039,1.56276473,0.621998308,0.466385284
2.7,0.68,350.372,29.46,48.68328451,1.455819495,0.827874848,0.645307386
2.7,0.68,350.372,29.46,0.102627525,1.562896769,0.533528695,0.435813556
2.7,0.68,350.372,29.46,1.356484207,1.61,0.86,0.482404838
2.7,0.68,350.372,29.46,0.0025,1.589493401,0.775128034,0.589634628
2.7,0.68,350.372,29.46,0.0025,1.61,0.646552211,0.336966398
2.7,0.68,350.372,29.46,0.0025,1.599372572,0.563198489,0.390155906
2.7,0.68,350.372,29.46,0.756669548,1.608024205,0.790283599,0.525995902
2.7,0.68,350.372,29.46,0.0025,1.561217912,0.753238187,0.434699042
2.7,0.68,350.372,29.46,0.867085804,1.60038246,0.660221172,0.22162103
2.7,0.68,350.372,29.46,0.413827153,1.251813291,0.55635014,0.390705743
2.7,0.68,350.372,29.46,1.07612309,1.603346566,0.783353757,0.603962169
2.7,0.68,350.372,29.46,0.0025,1.61,0.778775517,0.630380845
2.7,0.68,350.372,29.46,0.175903917,1.61,0.64108506,0.345031439
2.7,0.68,350.372,29.46,1.731400828,1.593766423,0.664757081,0.235800541
2.7,0.68,350.372,29.46,0.25003985,1.539010791,0.527287484,0.440816296
2.7,0.68,350.372,29.46,0.0025,1.607229246,0.605177074,0.346705436
2.7,0.68,350.372,29.46,0.0025,1.252454911,0.52,0.389099881
2.7,0.68,350.372,29.46,0.894986512,1.249922451,0.565446122,0.394787259
2.7,0.68,350.372,29.46,40.05985997,1.460576175,0.86,0.74402791
2.7,0.68,350.372,29.46,0.545014367,1.249477235,0.618332845,0.461391602
2.7,0.68,350.372,29.46,0.0025,1.551236927,0.52984522,0.392646831
2.7,0.68,350.372,29.46,0.413172094,1.57601288,0.722181369,0.493083742
2.7,0.68,350.372,29.46,0.0025,1.552550183,0.52,0.385386799
2.7,0.68,350.372,29.46,0.242664731,1.504885436,0.532510172,0.448047051
2.7,0.68,350.372,29.46,49.90933375,1.488078568,0.811714662,0.63644479
2.7,0.68,350.372,29.46,0.0025,1.606731696,0.563075333,0.387353039
2.7,0.68,350.372,29.46,0.0025,1.61,0.598464947,0.351158888
2.7,0.68,350.372,29.46,0.0025,1.564552202,0.627770511,0.467366053
2.7,0.68,350.372,29.46,0.322478653,1.554508392,0.534012758,0.429103989
2.7,0.68,350.372,29.46,0.0025,1.564900856,0.723775549,0.481565137
2.7,0.68,350.372,29.46,2.577605467,1.456857999,0.655042985,0.353577351
2.7,0.68,350.372,29.46,49.29504955,1.487242555,0.793439753,0.649392348
2.7,0.68,350.372,29.46,0.0025,1.602893421,0.790156425,0.597942671
2.7,0.68,350.372,29.46,0.50925261,1.602454956,0.654517949,0.342788321
2.7,0.68,350.372,29.46,2.075119738,1.598408236,0.649158737,0.3428941
2.7,0.68,350.372,29.46,48.33828917,1.48260515,0.793339577,0.669157993
2.7,0.68,350.372,29.46,41.91989196,1.450514989,0.86,0.86
2.7,0.68,350.372,29.46,0.0025,1.61,0.787272659,0.517895621
2.7,0.68,350.372,29.46,1.827855434,1.450345929,0.638404537,0.345365767
2.7,0.68,350.372,29.46,0.0025,1.349678672,0.748468092,0.459726969
2.7,0.68,350.372,29.46,1.034426098,1.246625459,0.521682502,0.395856572
2.7,0.68,350.372,29.46,0.63319211,1.596433606,0.655587914,0.348169599
2.7,0.68,350.372,29.46,11.23321212,1.45916265,0.751082656,0.65684296
2.7,0.68,350.372,29.46,0.910767158,1.59937627,0.667103809,0.222547068
2.7,0.68,350.372,29.46,40.08848387,1.445107194,0.850526438,0.856497872
2.7,0.68,350.372,29.46,38.95012293,1.45302953,0.846867837,0.697447667
2.7,0.68,350.372,29.46,2.111910227,1.608580855,0.569926374,0.387937531
2.7,0.68,350.372,29.46,8.771350557,1.261652117,0.74171529,0.329299814
2.7,0.68,350.372,29.46,1.962671078,1.449497387,0.63579272,0.346548552
2.7,0.68,350.372,29.46,1.223722167,1.603242782,0.637876196,0.346037456
2.7,0.68,350.372,29.46,50,1.44544953,0.8244844,0.615343819
2.7,0.68,350.372,29.46,0.0025,1.507299601,0.525438968,0.438603797
2.7,0.68,350.372,29.46,50,1.464279657,0.806436687,0.677888714
2.7,0.68,350.372,29.46,50,1.49105171,0.806091272,0.666488416
2.7,0.68,350.372,29.46,0.0025,1.608550065,0.782074185,0.586656023
2.7,0.68,350.372,29.46,0.465989404,1.56420455,0.764598192,0.453769017
2.7,0.68,350.372,29.46,0.0025,1.559828035,0.525267594,0.376675648
2.7,0.68,350.372,29.46,0.617697071,1.564721375,0.613006917,0.452124451
2.7,0.68,350.372,29.46,0.0025,1.463518711,0.793510099,0.476703605
2.7,0.68,350.372,29.46,1.204328029,1.608310053,0.569301499,0.389658243
2.7,0.68,350.372,29.46,0.452800272,1.561590696,0.614827895,0.47343383
2.7,0.68,350.372,29.46,1.827049107,1.588816653,0.675036121,0.238507703
2.7,0.68,350.372,29.46,1.163254823,1.555631296,0.619350264,0.471723452
2.7,0.68,350.372,29.46,2.556060176,1.60166212,0.786586418,0.639646569
2.7,0.68,350.372,29.46,49.53197009,1.475190017,0.785670647,0.668855398
2.7,0.68,350.372,29.46,10.35263731,1.446414534,0.749860563,0.645402438
2.7,0.68,350.372,29.46,1.332584473,1.249766711,0.788307996,0.409657822
2.7,0.68,350.372,29.46,1.321820073,1.248382213,0.62705036,0.469450516
2.7,0.68,350.372,29.46,49.72476516,1.492922494,0.809106304,0.662686701
2.7,0.68,350.372,29.46,40.40047582,1.467189711,0.86,0.746088145
2.7,0.68,350.372,29.46,0.0025,1.256621226,0.581791056,0.329953531
2.7,0.68,350.372,29.46,0.186801829,1.61,0.556790179,0.373864688
2.7,0.68,350.372,29.46,0.348950094,1.59941763,0.778703751,0.6005656
2.7,0.68,350.372,29.46,2.657154718,1.551198212,0.634636587,0.460499593
2.7,0.68,350.372,29.46,1.41748724,1.566699395,0.5259384,0.442056064
2.7,0.68,350.372,29.46,0.874988625,1.592827381,0.781828769,0.599709468
2.7,0.68,350.372,29.46,2.33403274,1.602487194,0.678382908,0.242321914
2.7,0.68,350.372,29.46,0.214437012,1.61,0.784600601,0.518690186
2.7,0.68,350.372,29.46,0.643286993,1.251791673,0.676029657,0.210067896
2.7,0.68,350.372,29.46,1.508925022,1.561564374,0.723698451,0.487842494
2.7,0.68,350.372,29.46,2.517285947,1.61,0.80427766,0.615265549
2.7,0.68,350.372,29.46,49.15678261,1.496154584,0.792148454,0.623242192
2.7,0.68,350.372,29.46,0.0025,1.61,0.788389236,0.590731561
2.7,0.68,350.372,29.46,50,1.454945786,0.831796085,0.651414504
2.7,0.68,350.372,29.46,0.0025,1.605288783,0.772352699,0.594250088
2.7,0.68,350.372,29.46,0.655571677,1.565214222,0.52,0.381976663
2.7,0.68,350.372,29.46,50,1.48810953,0.795141884,0.63427021
2.7,0.68,350.372,29.46,0.0025,1.604295024,0.850258863,0.455493959
2.7,0.68,350.372,29.46,0.0025,1.609498687,0.595512899,0.348585758
2.7,0.68,350.372,29.46,0.0025,1.576712224,0.719929236,0.476729158
2.7,0.68,350.372,29.46,0.0025,1.5510368,0.757863272,0.44284728
2.7,0.68,350.372,29.46,0.0025,1.61,0.587490667,0.341952408
2.7,0.68,350.372,29.46,0.0025,1.603514761,0.788645866,0.527575066
2.7,0.68,350.372,29.46,1.288742264,1.447153472,0.639993047,0.337387698
2.7,0.68,350.372,29.46,48.22306212,1.490931882,0.800341777,0.621865217
2.7,0.68,350.372,29.46,10.09636741,1.256878735,0.76007815,0.344008018
2.7,0.68,350.372,29.46,0.0025,1.571311414,0.753551983,0.453064629
2.7,0.68,350.372,29.46,0.0025,1.552096162,0.615356831,0.43063646
2.7,0.68,350.372,29.46,0.0025,1.61,0.791076163,0.596999938
2.7,0.68,350.372,29.46,10.06693915,1.453437686,0.736025924,0.641981478
2.7,0.68,350.372,29.46,0.807251627,1.61,0.5618203,0.394608954
2.7,0.68,350.372,29.46,0.736654967,1.56397065,0.530500287,0.392076099
2.7,0.68,350.372,29.46,50,1.484096721,0.799861447,0.631196049
2.7,0.68,350.372,29.46,0.955852774,1.554825383,0.525091463,0.422586481
2.7,0.68,350.372,29.46,48.79760027,1.453672562,0.824563102,0.636963124
2.7,0.68,350.372,29.46,0.0025,1.546213211,0.615367354,0.439966084
2.7,0.68,350.372,29.46,0.641981377,1.549149969,0.760262883,0.460600916
2.7,0.68,350.372,29.46,10.31290946,1.253148462,0.747221764,0.340574463
2.7,0.68,350.372,29.46,0.0025,1.554227065,0.526327958,0.430572255
2.7,0.68,350.372,29.46,50,1.481934045,0.807148547,0.63833437
2.7,0.68,350.372,29.46,0.004242784,1.599435733,0.780100306,0.603019698
2.7,0.68,350.372,29.46,3.31536644,1.448008895,0.648499534,0.355775853
2.7,0.68,350.372,29.46,10.73128083,1.444180412,0.747401029,0.654168344
2.7,0.68,350.372,29.46,0.0025,1.536592851,0.526584416,0.440554566
2.7,0.68,350.372,29.46,2.528039131,1.450748257,0.646528435,0.357167337
